Year,Month,Min,Avg,Max
2013,11,0.1,3.1,6.9
2013,12,-4.7,-1.7,3.3
2014,1,-3.4,-0.8,3.5
2014,2,-1.6,0.9,5.3
2014,3,-1.9,3.2,12
2014,4,1.8,8.1,15.7
2014,5,4.4,11.2,17.9
2014,6,8.4,15.1,23.2
2014,7,10.3,15.9,22.4
2014,8,9.8,15,22
2014,9,7.8,13,20.4
2014,10,5.5,9.6,16.2
2014,11,3.5,5.9,9.6
2014,12,-2.4,0.3,3.7
2015,1,-5.4,-1.9,3.8
2015,2,-4.5,-0.6,6.2
2015,3,-1.5,3.6,10.8
2015,4,0.6,7.8,15.5
2015,5,7,12.6,19.1
2015,6,9.2,15.9,23.4
2015,7,12.7,19.9,28.2
2015,8,11.2,17.4,25.4
2015,9,6.6,11.8,18.4
2015,10,3.5,7.3,13.1
2015,11,-2.5,1.6,9.6
2015,12,-6.3,-3,3
2016,1,-6.6,-2.9,3
2016,2,-1.9,0.8,5
2016,3,-1.3,3.1,9.5
2016,4,2.7,8.3,14.8
2016,5,5.4,11.1,17.5
2016,6,9.7,15.3,22
2016,7,11.1,17.4,25
2016,8,9.8,16.3,24.5
2016,9,8.4,14,21.7
2016,10,2.8,7,12.8
2016,11,-0.2,2.8,6.8
2016,12,-6.2,-2.9,3.1
2017,1,-10.3,-5.7,2.1
2017,2,-2.1,1.4,7.1
2017,3,-0.3,5.7,14.1
2017,4,0.9,7.6,15.1
2017,5,6.4,12.7,20.1
2017,6,10,17.1,25.1
2017,7,10.7,17.6,25.6
2017,8,10.2,17.7,26.8
2017,9,6.2,10.9,16.8
2017,10,1.6,7.2,15.9
2017,11,-2.7,0.9,5.8
2017,12,-8.1,-4.6,-0.3
2018,1,-5,-1.6,3.8
2018,2,-6.2,-2.2,3.4
2018,3,-1.6,2.2,7.5
2018,4,3.1,9.7,17.9
2018,5,7.6,12.7,19.2
2018,6,8.7,16.1,24.1
2018,7,11.1,17.6,25.7
2018,8,10.6,17.5,26.2
2018,9,7.6,13.9,22.5
2018,10,3.6,8.6,16
2018,11,1.8,4.4,8.5
2018,12,-5.2,-2.1,2.6
2019,1,-7.4,-3.1,2.9
2019,2,-5.2,-0.4,9.2
2019,3,-2.3,3.8,12.4
2019,4,2.7,7.4,13.5
2019,5,4.3,9.2,14.8
2019,6,10.6,18.6,27.2
2019,7,11.3,17.9,26.4
2019,8,11.9,17.8,25.7
2019,9,7.7,13.3,20.7
2019,10,5.3,9.2,15.2
2019,11,1.3,3.2,6
2019,12,-4.2,-1.5,2.3
2020,1,-6.2,-2.5,3.8
2020,2,-3.5,1.1,8.4
2020,3,-2,2.9,9.6
2020,4,0.4,8.6,17.7
2020,5,5.7,12.3,19.5
2020,6,9.4,14.9,21.5
2020,7,11,17.4,25
2020,8,11.6,17.2,24.9
2020,9,8,13.3,20.6
2020,10,3.1,6.8,12.4
2020,11,-2.5,1.1,8.3
2020,12,-4,-1.7,1.4
2021,1,-9.2,-5.5,-0.2
2021,2,-4.6,-0.6,6.9
2021,3,-4,1.8,10.2
2021,4,-0.4,5.3,11.9
2021,5,3.7,9.7,16.1
2021,6,9.8,16.9,25.3
2021,7,11.4,17.4,24.8
2021,8,9.6,15.6,23.2
2021,9,8.6,14,21.4
2021,10,1.8,6.6,14.5
2021,11,-0.7,2.6,8
2021,12,-6.8,-3.6,1.2
2022,1,-7.3,-3.4,3.4
2022,2,-4.3,0.1,7.2
2022,3,-4,2.5,11.6
2022,4,0.8,6.8,13.9
2022,5,7.8,14.1,21.2
2022,6,10.4,17.7,25.7
2022,7,11.4,19.1,27.9
2022,8,10.7,17.2,25.8
2022,9,7,12.1,19.1
2022,10,4.3,9.7,17.8
2022,11,-0.8,2.7,8.1
2022,12,-4.2,-1.6,2.1
2023,1,-4.4,-1.5,2.9
2023,2,-4.5,0.3,7.9
2023,3,-0.9,4.7,12.2
2023,4,0.4,6.4,13.1
2023,5,7,11.9,18.2
2023,6,10.3,16.4,24
2023,7,11.6,17.7,25.4
2023,8,11.3,17.4,25.3
2023,9,8.6,14.7,23.1
2023,10,5.7,10.4,16.7
2023,11,-2.1,1.5,7.1
2023,12,-4,-1,3.3
